id,category,expected_lane,candidate_mode,question,answer,word_count,key_point_coverage,evidence_grounding,safety_compliance,actionability,clarity,total_score,passed,missing_key_points,missing_evidence_terms,missing_safety_terms,forbidden_hits
ansq_001,general_health_education,general_health,offline_reference_template,What diet habits help build a balanced breakfast for adults?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_002,general_health_education,general_health,offline_reference_template,What exercise routine is safe for a beginner who sits all day?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_003,general_health_education,general_health,offline_reference_template,What should I pay attention to when reducing sugary drinks?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_004,general_health_education,general_health,offline_reference_template,What advice helps improve sleep hygiene without supplements?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_005,general_health_education,general_health,offline_reference_template,How can I plan a high-fiber diet in a practical way?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_006,general_health_education,general_health,offline_reference_template,What exercise habits support heart health for office workers?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_007,general_health_education,general_health,offline_reference_template,What should a healthy plate look like for lunch?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_008,general_health_education,general_health,offline_reference_template,What diet choices can support better metabolic health?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_009,general_health_education,general_health,offline_reference_template,What advice helps me drink enough water during workdays?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_010,general_health_education,general_health,offline_reference_template,How can I reduce late-night snacks with healthier routines?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_011,general_health_education,general_health,offline_reference_template,What exercise options are gentle for people new to fitness?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_012,general_health_education,general_health,offline_reference_template,What diet principles help control total calorie intake?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_013,general_health_education,general_health,offline_reference_template,What should I know about salt reduction in daily meals?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_014,general_health_education,general_health,offline_reference_template,What advice helps create a weekly walking habit?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_015,general_health_education,general_health,offline_reference_template,How can I make healthier choices when eating outside?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_016,general_health_education,general_health,offline_reference_template,What diet habits support stable energy during the day?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_017,general_health_education,general_health,offline_reference_template,What exercise warm-up is useful before brisk walking?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_018,general_health_education,general_health,offline_reference_template,What should I pay attention to when choosing whole grains?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_019,general_health_education,general_health,offline_reference_template,"What advice helps balance protein, vegetables, and staples?","Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_020,general_health_education,general_health,offline_reference_template,How can I build a simple lifestyle plan for general wellness?,"Based on general health guidance, this is lifestyle advice and not a diagnosis. A practical plan is to choose a balanced diet, add regular exercise or walking, sleep consistently, and monitor how your body responds. Record key habits for one to two weeks and review them with your clinician if symptoms appear or worsen.",54,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,
ansq_021,personal_trend_review,trend_review,offline_reference_template,Can you review my glucose trend over time and explain what is going up?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_022,personal_trend_review,trend_review,offline_reference_template,Please summarize the history trend of my blood pressure readings.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_023,personal_trend_review,trend_review,offline_reference_template,Is my weight trend going down over time in a healthy pattern?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_024,personal_trend_review,trend_review,offline_reference_template,Can you compare my cholesterol trend across the last few records?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_025,personal_trend_review,trend_review,offline_reference_template,Please review the trend of my fasting blood sugar history.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_026,personal_trend_review,trend_review,offline_reference_template,What does my BMI history trend suggest over time?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_027,personal_trend_review,trend_review,offline_reference_template,Can you explain whether my uric acid trend is going up?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_028,personal_trend_review,trend_review,offline_reference_template,Please summarize my liver enzyme trend across history.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_029,personal_trend_review,trend_review,offline_reference_template,What is the trend in my kidney function markers over time?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_030,personal_trend_review,trend_review,offline_reference_template,Can you review my blood lipid history and trend direction?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_031,personal_trend_review,trend_review,offline_reference_template,Has my waist measurement trend changed over time?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_032,personal_trend_review,trend_review,offline_reference_template,Please explain the trend in my HbA1c history.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_033,personal_trend_review,trend_review,offline_reference_template,Can you review whether my systolic pressure trend is improving?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_034,personal_trend_review,trend_review,offline_reference_template,What does my triglyceride trend show across recent history?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_035,personal_trend_review,trend_review,offline_reference_template,Please summarize my HDL trend over time.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_036,personal_trend_review,trend_review,offline_reference_template,Can you explain my LDL trend and whether it is going up?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_037,personal_trend_review,trend_review,offline_reference_template,What does the history trend of my exercise minutes suggest?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_038,personal_trend_review,trend_review,offline_reference_template,Please review the trend in my sleep duration over time.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_039,personal_trend_review,trend_review,offline_reference_template,Can you explain whether my resting heart rate trend is stable?,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_040,personal_trend_review,trend_review,offline_reference_template,Please summarize the trend of abnormal metrics in my history.,"I would treat this as a trend review, not a diagnosis. Compare the same metric across history readings over time, check whether values move consistently up or down, and record dates, units, and context. If the trend keeps worsening or values are outside range, share the history with a clinician for interpretation.",52,0.75,1.0,1.0,1.0,1.0,0.925,True,monitor,,,
ansq_041,report_evidence_consult,report_interpretation,offline_reference_template,Please interpret my uploaded report and explain the key lab result.,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_042,report_evidence_consult,report_interpretation,offline_reference_template,What does this lab result in my report mean for daily management?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_043,report_evidence_consult,report_interpretation,offline_reference_template,Can you summarize the OCR summary from my uploaded report?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_044,report_evidence_consult,report_interpretation,offline_reference_template,Please explain the abnormal item in my latest test result report.,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_045,report_evidence_consult,report_interpretation,offline_reference_template,Can you compare this uploaded report with the previous report?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_046,report_evidence_consult,report_interpretation,offline_reference_template,What should I notice in this blood test result from my report?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_047,report_evidence_consult,report_interpretation,offline_reference_template,Please explain the liver function section in my lab result.,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_048,report_evidence_consult,report_interpretation,offline_reference_template,Can you interpret the kidney function item in my uploaded report?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_049,report_evidence_consult,report_interpretation,offline_reference_template,What does the lipid panel in my lab result report suggest?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_050,report_evidence_consult,report_interpretation,offline_reference_template,Please explain the glucose value in this test result report.,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_051,report_evidence_consult,report_interpretation,offline_reference_template,Can you summarize the document I uploaded from the checkup report?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_052,report_evidence_consult,report_interpretation,offline_reference_template,What does the urine test result in my report mean?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_053,report_evidence_consult,report_interpretation,offline_reference_template,Please explain the blood pressure value recorded in my report.,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_054,report_evidence_consult,report_interpretation,offline_reference_template,Can you interpret the BMI line in my uploaded report?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_055,report_evidence_consult,report_interpretation,offline_reference_template,What does the thyroid test result in this report suggest?,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
ansq_056,report_evidence_consult,report_interpretation,offline_reference_template,Please summarize the important findings in the OCR summary.,"For an uploaded report or lab result, focus on the exact value, unit, and reference range before drawing conclusions. I can explain what the report item may mean, but this is not a diagnosis. Follow up with a clinician if the value is abnormal, new, or inconsistent with your symptoms.",50,1.0,1.0,1.0,0.3333,1.0,0.9,True,,,,
